epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5107,1.208,2.96842,1.65791,0.3284,0.46208,0.32798,0.17448,1.51782,2.43862,2.38075,0.000367247,0.000367247,0.000367247
2,66.6274,1.2361,2.1294,1.66385,0.3743,0.56782,0.43174,0.18896,1.71433,2.19051,2.62617,0.00070107,0.00070107,0.00070107
3,124.614,1.21805,1.92295,1.64067,0.46448,0.46148,0.4571,0.21943,1.70016,2.1531,2.31702,0.00099823,0.00099823,0.00099823
4,152.927,1.21938,1.8151,1.62721,0.38189,0.37783,0.32965,0.16996,1.69684,2.09256,2.2803,0.000946016,0.000946016,0.000946016
5,180.459,1.1587,1.69121,1.58668,0.4719,0.53913,0.48078,0.26162,1.59305,1.87392,2.22945,0.000891022,0.000891022,0.000891022
6,208.804,1.13982,1.59239,1.57726,0.64766,0.53593,0.60554,0.35484,1.487,1.57243,2.10531,0.000836027,0.000836027,0.000836027
7,238.879,1.1288,1.51342,1.55034,0.50118,0.53117,0.55103,0.29946,1.56315,1.87164,2.16113,0.000781033,0.000781033,0.000781033
8,265.767,1.08668,1.45935,1.53157,0.72585,0.53999,0.63584,0.37203,1.5035,1.43516,2.12,0.000726038,0.000726038,0.000726038
9,294.869,1.05957,1.43301,1.50538,0.64763,0.54153,0.62486,0.36888,1.49585,1.42641,2.09139,0.000671044,0.000671044,0.000671044
10,323.407,1.07094,1.37381,1.51234,0.73647,0.5738,0.67147,0.39937,1.43358,1.25968,2.03269,0.000616049,0.000616049,0.000616049
11,355.772,1.13939,1.40116,1.64184,0.67482,0.58182,0.6606,0.38535,1.46282,1.38598,2.12394,0.000561055,0.000561055,0.000561055
12,615.665,1.12526,1.2552,1.62425,0.70578,0.65815,0.71099,0.44347,1.41329,1.37697,2.00642,0.00050606,0.00050606,0.00050606
13,660.073,1.08523,1.17065,1.5889,0.71741,0.60433,0.70821,0.43326,1.45433,1.26212,1.96267,0.000451066,0.000451066,0.000451066
